"","municipio_codigo","municipio","uf","latitude","longitude","n","s"
"85",1400100,"BOA VISTA","RR",2.82384,-60.6753,65,84
"86",1400159,"BONFIM","RR",3.36161,-59.8333,1,0
"87",1400175,"CANTA","RR",2.60994,-60.6058,0,4
"88",1400308,"MUCAJAI","RR",2.43998,-60.9096,0,2
"89",1400472,"RORAINOPOLIS","RR",0.939956,-60.4389,1,22
"90",1400605,"SAO LUIZ","RR",1.01019,-60.0419,0,1
"91",1500107,"ABAETETUBA","PA",-1.72183,-48.8788,11,4
"92",1500206,"ACARA","PA",-1.95383,-48.1985,0,4
"93",1500347,"AGUA AZUL DO NORTE","PA",-6.79053,-50.4791,1,1
"94",1500503,"ALMEIRIM","PA",-1.52904,-52.5788,2,8
"95",1500602,"ALTAMIRA","PA",-3.20407,-52.21,20,19
"96",1500800,"ANANINDEUA","PA",-1.36391,-48.3743,45,35
"97",1500859,"ANAPU","PA",-3.46985,-51.2003,2,3
"98",1500909,"AUGUSTO CORREA","PA",-1.05109,-46.6147,0,1
"99",1500958,"AURORA DO PARA","PA",-2.14898,-47.5677,1,0
"100",1501006,"AVEIRO","PA",-3.60841,-55.3199,0,1
"101",1501303,"BARCARENA","PA",-1.51187,-48.6195,8,13
"102",1501402,"BELEM","PA",-1.4554,-48.4898,96,125
"103",1501451,"BELTERRA","PA",-2.63609,-54.9374,0,2
"104",1501501,"BENEVIDES","PA",-1.36183,-48.2434,4,6
"105",1501576,"BOM JESUS DO TOCANTINS","PA",-5.0424,-48.6047,0,2
"106",1501600,"BONITO","PA",-1.36745,-47.3066,4,0
"107",1501709,"BRAGANCA","PA",-1.06126,-46.7826,1,6
"108",1501725,"BRASIL NOVO","PA",-3.29792,-52.534,1,3
"109",1501782,"BREU BRANCO","PA",-3.77191,-49.5735,0,4
"110",1502103,"CAMETA","PA",-2.24295,-49.4979,0,3
"111",1502152,"CANAA DOS CARAJAS","PA",-6.49659,-49.8776,50,11
"112",1502202,"CAPANEMA","PA",-1.20529,-47.1778,12,12
"113",1502301,"CAPITAO POCO","PA",-1.74785,-47.0629,9,13
"114",1502400,"CASTANHAL","PA",-1.29797,-47.9167,36,17
"115",1502608,"COLARES","PA",-0.936423,-48.2803,2,0
"116",1502707,"CONCEICAO DO ARAGUAIA","PA",-8.26136,-49.2689,26,5
