,cnae_fiscal,cnae_fiscal_desc,uf,mun,quant,mun_uf,codigo_ibge,latitude,longitude;
8771,3812200,Coleta de resíduos perigosos,pr,sao jose dos pinhais,0.93,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
8772,3812200,Coleta de resíduos perigosos,pr,sao jose dos pinhais,0.3,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
8773,3812200,Coleta de resíduos perigosos,pr,sao jose dos pinhais,0.02,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
8774,3812200,Coleta de resíduos perigosos,sp,pariquera-acu,0.02,pariquera-acu - sp,3536208,-24.7147,-47.8742;
8775,3812200,Coleta de resíduos perigosos,sp,pariquera-acu,0.02,pariquera-acu - sp,3536208,-24.7147,-47.8742;
8776,3812200,Coleta de resíduos perigosos,sp,pariquera-acu,0.02,pariquera-acu - sp,3536208,-24.7147,-47.8742;
8777,3812200,Coleta de resíduos perigosos,sp,pariquera-acu,7.12,pariquera-acu - sp,3536208,-24.7147,-47.8742;
8778,3812200,Coleta de resíduos perigosos,sp,pariquera-acu,6.4,pariquera-acu - sp,3536208,-24.7147,-47.8742;
8779,9430800,Atividades de associações de defesa de direitos sociais,pb,sume,0.4,sume - pb,2516300,-7.66206,-36.884;
8780,9430800,Atividades de associações de defesa de direitos sociais,pb,sume,0.4,sume - pb,2516300,-7.66206,-36.884;
"8781,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,alvinopolis,0.29,alvinopolis - mg,3102308,-20.1098,-43.0535";
"8782,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,alvinopolis,0.27,alvinopolis - mg,3102308,-20.1098,-43.0535";
8783,2061400,Fabricação de sabões e detergentes sintéticos,ma,codo,0.25,codo - ma,2103307,-4.45562,-43.8924;
8784,2061400,Fabricação de sabões e detergentes sintéticos,ma,codo,0.25,codo - ma,2103307,-4.45562,-43.8924;
8785,2061400,Fabricação de sabões e detergentes sintéticos,ma,codo,78.76,codo - ma,2103307,-4.45562,-43.8924;
8786,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,2.0,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8787,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,1.0,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8788,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,1.0,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8789,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,1.0,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8790,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,3.84,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8791,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,3.9,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8792,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,3.2,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8793,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,3.2,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8794,3822000,Tratamento e disposição de resíduos perigosos,pr,dois vizinhos,3.2,dois vizinhos - pr,4107207,-25.7407,-53.056999999999995;
8795,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,0.5,campo grande - ms,5002704,-20.4486,-54.6295;
8796,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,0.13,campo grande - ms,5002704,-20.4486,-54.6295;
8797,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,0.27,campo grande - ms,5002704,-20.4486,-54.6295;
8798,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,0.97,campo grande - ms,5002704,-20.4486,-54.6295;
8799,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,1.32,campo grande - ms,5002704,-20.4486,-54.6295;
8800,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,1.32,campo grande - ms,5002704,-20.4486,-54.6295;
8801,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,3.22,campo grande - ms,5002704,-20.4486,-54.6295;
8802,3822000,Tratamento e disposição de resíduos perigosos,ms,campo grande,3.22,campo grande - ms,5002704,-20.4486,-54.6295;
8803,2722801,Fabricação de baterias e acumuladores para veículos automotores,pr,londrina,1.0,londrina - pr,4113700,-23.304000000000002,-51.1691;
8804,2722801,Fabricação de baterias e acumuladores para veículos automotores,pr,londrina,1.0,londrina - pr,4113700,-23.304000000000002,-51.1691;
8805,2722801,Fabricação de baterias e acumuladores para veículos automotores,pr,londrina,0.01,londrina - pr,4113700,-23.304000000000002,-51.1691;
"8806,2423702,""Produção de laminados longos de aço, exceto tubos"",ms,tres lagoas,1.2,tres lagoas - ms,5008305,-20.7849,-51.7007";
"8807,2423702,""Produção de laminados longos de aço, exceto tubos"",ms,tres lagoas,738.6,tres lagoas - ms,5008305,-20.7849,-51.7007";
"8808,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",sc,pouso redondo,2.0,pouso redondo - sc,4213708,-27.2567,-49.9301";
"8809,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",sc,pouso redondo,1.0,pouso redondo - sc,4213708,-27.2567,-49.9301";
8810,4313400,Obras de terraplenagem,rj,nova iguacu,5.0,nova iguacu - rj,3303500,-22.7556,-43.4603;
8811,2122000,Fabricação de medicamentos para uso veterinário,mg,juatuba,0.04,juatuba - mg,3136652,-19.9448,-44.3451;
8812,2122000,Fabricação de medicamentos para uso veterinário,mg,juatuba,13093.1,juatuba - mg,3136652,-19.9448,-44.3451;
8813,2122000,Fabricação de medicamentos para uso veterinário,mg,juatuba,2.64,juatuba - mg,3136652,-19.9448,-44.3451;
8814,2122000,Fabricação de medicamentos para uso veterinário,mg,juatuba,0.03,juatuba - mg,3136652,-19.9448,-44.3451;
8815,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,838.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8816,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,877.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8817,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,960.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8818,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,1227.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8819,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,1188.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8820,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,1258.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8821,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,1102.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8822,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,sp,mogi das cruzes,1175.0,mogi das cruzes - sp,3530607,-23.5208,-46.1854;
8823,1052000,Fabricação de laticínios,ms,campo grande,20.0,campo grande - ms,5002704,-20.4486,-54.6295;
8824,1052000,Fabricação de laticínios,ms,campo grande,12.37,campo grande - ms,5002704,-20.4486,-54.6295;
"8825,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",mg,cassia,2.0,cassia - mg,3115102,-20.5831,-46.9201";
8826,1031700,Fabricação de conservas de frutas,ce,cascavel,0.07,cascavel - ce,2303501,-4.12967,-38.2412;
8827,1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,ce,sobral,0.03,sobral - ce,2312908,-3.6891300000000005,-40.3482;
8828,1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,ce,sobral,0.04,sobral - ce,2312908,-3.6891300000000005,-40.3482;
8829,1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,ce,sobral,0.01,sobral - ce,2312908,-3.6891300000000005,-40.3482;
"8830,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",mt,barra do garcas,0.01,barra do garcas - mt,5101803,-15.8804,-52.263999999999996";
"8831,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",mt,barra do garcas,0.01,barra do garcas - mt,5101803,-15.8804,-52.263999999999996";
8832,810004,Extração de calcário e dolomita e beneficiamento associado,ce,acarape,0.0,acarape - ce,2300150,-4.22083,-38.7055;
8833,2392300,Fabricação de cal e gesso,ce,acarape,0.01,acarape - ce,2300150,-4.22083,-38.7055;
"8834,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",to,duere,0.1,duere - to,1707306,-11.3416,-49.2716";
"8835,2391503,""Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"",es,barra de sao francisco,0.0,barra de sao francisco - es,3200904,-18.7548,-40.8965";
"8836,2391503,""Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"",es,barra de sao francisco,0.0,barra de sao francisco - es,3200904,-18.7548,-40.8965";
"8837,2391503,""Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"",es,barra de sao francisco,0.0,barra de sao francisco - es,3200904,-18.7548,-40.8965";
"8838,2391503,""Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"",es,barra de sao francisco,0.0,barra de sao francisco - es,3200904,-18.7548,-40.8965";
"8839,2391503,""Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras"",es,barra de sao francisco,0.0,barra de sao francisco - es,3200904,-18.7548,-40.8965";
8840,810002,Extração de granito e beneficiamento associado,es,barra de sao francisco,1.15,barra de sao francisco - es,3200904,-18.7548,-40.8965;
8841,810002,Extração de granito e beneficiamento associado,es,barra de sao francisco,0.03,barra de sao francisco - es,3200904,-18.7548,-40.8965;
8842,810002,Extração de granito e beneficiamento associado,es,barra de sao francisco,0.81,barra de sao francisco - es,3200904,-18.7548,-40.8965;
8843,810002,Extração de granito e beneficiamento associado,es,barra de sao francisco,1.84,barra de sao francisco - es,3200904,-18.7548,-40.8965;
8844,810002,Extração de granito e beneficiamento associado,es,barra de sao francisco,0.25,barra de sao francisco - es,3200904,-18.7548,-40.8965;
8845,810002,Extração de granito e beneficiamento associado,es,barra de sao francisco,0.0,barra de sao francisco - es,3200904,-18.7548,-40.8965;
"8846,1020102,""Fabricação de conservas de peixes, crustáceos e moluscos"",ce,aracati,0.0,aracati - ce,2301109,-4.55826,-37.7679";
8847,3839499,Recuperação de materiais não especificados anteriormente,ro,ji-parana,0.01,ji-parana - ro,1100122,-10.8777,-61.9322;
8848,1052000,Fabricação de laticínios,ba,pau brasil,0.01,pau brasil - ba,2923902,-15.4572,-39.6458;
8849,1052000,Fabricação de laticínios,ba,pau brasil,0.01,pau brasil - ba,2923902,-15.4572,-39.6458;
8850,1052000,Fabricação de laticínios,ba,pau brasil,0.01,pau brasil - ba,2923902,-15.4572,-39.6458;
"8851,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",rn,carnauba dos dantas,0.01,carnauba dos dantas - rn,2402402,-6.55015,-36.5868";
8852,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,rj,pirai,8.0,pirai - rj,3304003,-22.6215,-43.9081;
8853,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,rj,pirai,7.0,pirai - rj,3304003,-22.6215,-43.9081;
8854,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,rj,pirai,8.5,pirai - rj,3304003,-22.6215,-43.9081;
8855,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,rj,pirai,9.5,pirai - rj,3304003,-22.6215,-43.9081;
8856,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,rj,pirai,9.5,pirai - rj,3304003,-22.6215,-43.9081;
"8857,1932200,""Fabricação de biocombustíveis, exceto álcool"",go,formosa,1.86,formosa - go,5208004,-15.54,-47.336999999999996";
"8858,1932200,""Fabricação de biocombustíveis, exceto álcool"",go,formosa,1.86,formosa - go,5208004,-15.54,-47.336999999999996";
"8859,1932200,""Fabricação de biocombustíveis, exceto álcool"",go,formosa,1.84,formosa - go,5208004,-15.54,-47.336999999999996";
8860,1910100,Coquerias,es,serra,669906.54,serra - es,3205002,-20.121,-40.3074;
8861,1910100,Coquerias,es,serra,38374.17,serra - es,3205002,-20.121,-40.3074;
8862,1910100,Coquerias,es,serra,39221.66,serra - es,3205002,-20.121,-40.3074;
8863,1910100,Coquerias,es,serra,38927.78,serra - es,3205002,-20.121,-40.3074;
8864,1910100,Coquerias,es,serra,39152.6,serra - es,3205002,-20.121,-40.3074;
8865,1910100,Coquerias,es,serra,3908.67,serra - es,3205002,-20.121,-40.3074;
8866,1910100,Coquerias,es,serra,1001085.0,serra - es,3205002,-20.121,-40.3074;
8867,1910100,Coquerias,es,serra,48.47,serra - es,3205002,-20.121,-40.3074;
"8868,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,5.1,imbituva - pr,4110102,-25.2285,-50.5989";
"8869,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",go,mutunopolis,2000.0,mutunopolis - go,5214101,-13.7303,-49.2745";
"8870,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",go,mutunopolis,200.0,mutunopolis - go,5214101,-13.7303,-49.2745";
"8871,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",go,mutunopolis,2000.0,mutunopolis - go,5214101,-13.7303,-49.2745";
8872,1052000,Fabricação de laticínios,mg,juruaia,1.68,juruaia - mg,3136900,-21.2493,-46.5735;
"8873,2071100,""Fabricação de tintas, vernizes, esmaltes e lacas"",sp,jandira,0.01,jandira - sp,3525003,-23.5275,-46.9023";
"8874,2945000,""Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"",sp,aruja,1.72,aruja - sp,3503901,-23.3965,-46.32";
"8875,2945000,""Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"",sp,aruja,2.7,aruja - sp,3503901,-23.3965,-46.32";
"8876,2945000,""Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias"",sp,aruja,3.77,aruja - sp,3503901,-23.3965,-46.32";
8877,600001,Extração de petróleo e gás natural,rj,rio de janeiro,21.72,rio de janeiro - rj,3304557,-22.9129,-43.2003;
"8878,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",mt,sinop,0.1,sinop - mt,5107909,-11.8604,-55.5091";
"8879,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",mt,sinop,0.03,sinop - mt,5107909,-11.8604,-55.5091";
"8880,2229303,""Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios"",sc,araquari,0.6,araquari - sc,4201307,-26.3754,-48.7188";
"8881,2229303,""Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios"",sc,araquari,0.6,araquari - sc,4201307,-26.3754,-48.7188";
"8882,2229303,""Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios"",sc,araquari,0.6,araquari - sc,4201307,-26.3754,-48.7188";
8883,4520001,Serviços de manutenção e reparação mecânica de veículos automotores,rs,ametista do sul,0.01,ametista do sul - rs,4300646,-27.3607,-53.183;
8884,2621300,Fabricação de equipamentos de informática,am,manaus,0.55,manaus - am,1302603,-3.1186599999999998,-60.0212;
8885,2621300,Fabricação de equipamentos de informática,am,manaus,667.8,manaus - am,1302603,-3.1186599999999998,-60.0212;
8886,4744002,Comércio varejista de madeira e artefatos,sp,adamantina,0.0,adamantina - sp,3500105,-21.682,-51.0737;
8887,4744002,Comércio varejista de madeira e artefatos,sp,adamantina,0.0,adamantina - sp,3500105,-21.682,-51.0737;
8888,4744002,Comércio varejista de madeira e artefatos,sp,adamantina,0.0,adamantina - sp,3500105,-21.682,-51.0737;
8889,3821100,Tratamento e disposição de resíduos não perigosos,ce,senador pompeu,0.0,senador pompeu - ce,2312700,-5.58244,-39.3704;
8890,4634699,Comércio atacadista de carnes e derivados de outros animais,mt,tangara da serra,1440.0,tangara da serra - mt,5107958,-14.6229,-57.4933;
8891,4634699,Comércio atacadista de carnes e derivados de outros animais,mt,tangara da serra,1230.0,tangara da serra - mt,5107958,-14.6229,-57.4933;
8892,4634699,Comércio atacadista de carnes e derivados de outros animais,mt,tangara da serra,1040.0,tangara da serra - mt,5107958,-14.6229,-57.4933;
8893,4634699,Comércio atacadista de carnes e derivados de outros animais,mt,tangara da serra,1676.4,tangara da serra - mt,5107958,-14.6229,-57.4933;
8894,4634699,Comércio atacadista de carnes e derivados de outros animais,ro,ji-parana,3230.0,ji-parana - ro,1100122,-10.8777,-61.9322;
8895,4634699,Comércio atacadista de carnes e derivados de outros animais,ro,ji-parana,226424.0,ji-parana - ro,1100122,-10.8777,-61.9322;
8896,4634699,Comércio atacadista de carnes e derivados de outros animais,ro,ji-parana,2800.0,ji-parana - ro,1100122,-10.8777,-61.9322;
8897,2032100,Fabricação de resinas termofixas,ce,fortaleza,0.0,fortaleza - ce,2304400,-3.71664,-38.5423;
8898,2032100,Fabricação de resinas termofixas,ce,fortaleza,0.0,fortaleza - ce,2304400,-3.71664,-38.5423;
8899,1031700,Fabricação de conservas de frutas,ce,fortaleza,14.5,fortaleza - ce,2304400,-3.71664,-38.5423;
8900,1031700,Fabricação de conservas de frutas,ce,fortaleza,14.5,fortaleza - ce,2304400,-3.71664,-38.5423;
8901,1031700,Fabricação de conservas de frutas,ce,fortaleza,6.38,fortaleza - ce,2304400,-3.71664,-38.5423;
8902,1031700,Fabricação de conservas de frutas,ce,fortaleza,38.6,fortaleza - ce,2304400,-3.71664,-38.5423;
8903,1031700,Fabricação de conservas de frutas,ce,fortaleza,30.0,fortaleza - ce,2304400,-3.71664,-38.5423;
8904,1031700,Fabricação de conservas de frutas,ce,fortaleza,34.3,fortaleza - ce,2304400,-3.71664,-38.5423;
8905,1031700,Fabricação de conservas de frutas,ce,fortaleza,32.15,fortaleza - ce,2304400,-3.71664,-38.5423;
8906,1510600,Curtimento e outras preparações de couro,pr,rolandia,44.46,rolandia - pr,4122404,-23.3101,-51.3659;
8907,1510600,Curtimento e outras preparações de couro,pr,rolandia,39.72,rolandia - pr,4122404,-23.3101,-51.3659;
8908,1510600,Curtimento e outras preparações de couro,pr,rolandia,29.9,rolandia - pr,4122404,-23.3101,-51.3659;
8909,1510600,Curtimento e outras preparações de couro,pr,rolandia,54.19,rolandia - pr,4122404,-23.3101,-51.3659;
8910,1510600,Curtimento e outras preparações de couro,pr,rolandia,66.68,rolandia - pr,4122404,-23.3101,-51.3659;
8911,1510600,Curtimento e outras preparações de couro,pr,rolandia,88.89,rolandia - pr,4122404,-23.3101,-51.3659;
8912,1012101,Abate de aves,mg,betim,0.1,betim - mg,3106705,-19.9668,-44.2008;
8913,1012101,Abate de aves,mg,betim,16.47,betim - mg,3106705,-19.9668,-44.2008;
8914,1012101,Abate de aves,mg,ibirite,16579.8,ibirite - mg,3129806,-20.0252,-44.0569;
8915,3812200,Coleta de resíduos perigosos,pr,nova esperanca do sudoeste,0.1,nova esperanca do sudoeste - pr,4116950,-25.9004,-53.2618;
"8916,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",se,itabaianinha,0.05,itabaianinha - se,2803005,-11.2693,-37.7875";
"8917,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",se,itabaianinha,0.05,itabaianinha - se,2803005,-11.2693,-37.7875";
"8918,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,37.3,paranapoema - pr,4118303,-22.6412,-52.0905";
"8919,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,39.72,paranapoema - pr,4118303,-22.6412,-52.0905";
"8920,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,66.48,paranapoema - pr,4118303,-22.6412,-52.0905";
"8921,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,42.13,paranapoema - pr,4118303,-22.6412,-52.0905";
"8922,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,23.18,paranapoema - pr,4118303,-22.6412,-52.0905";
"8923,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,55.09,paranapoema - pr,4118303,-22.6412,-52.0905";
"8924,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,55.36,paranapoema - pr,4118303,-22.6412,-52.0905";
"8925,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pr,paranapoema,56.0,paranapoema - pr,4118303,-22.6412,-52.0905";
8929,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.22,sete quedas - ms,5007703,-23.9705,-55.0398;
8930,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.16,sete quedas - ms,5007703,-23.9705,-55.0398;
8931,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.17,sete quedas - ms,5007703,-23.9705,-55.0398;
8932,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.15,sete quedas - ms,5007703,-23.9705,-55.0398;
8933,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.13,sete quedas - ms,5007703,-23.9705,-55.0398;
8934,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.91,sete quedas - ms,5007703,-23.9705,-55.0398;
8935,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.56,sete quedas - ms,5007703,-23.9705,-55.0398;
8936,1065101,Fabricação de amidos e féculas de vegetais,ms,sete quedas,0.29,sete quedas - ms,5007703,-23.9705,-55.0398;
"8937,1020101,""Preservação de peixes, crustáceos e moluscos"",sc,penha,0.08,penha - sc,4212502,-26.7754,-48.6465";
"8938,1020101,""Preservação de peixes, crustáceos e moluscos"",sc,penha,0.08,penha - sc,4212502,-26.7754,-48.6465";
"8939,1020101,""Preservação de peixes, crustáceos e moluscos"",sc,penha,0.08,penha - sc,4212502,-26.7754,-48.6465";
"8940,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pb,santa rita,1.0,santa rita - pb,2513703,-7.11724,-34.9753";
"8941,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pb,santa rita,1.0,santa rita - pb,2513703,-7.11724,-34.9753";
"8942,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pb,santa rita,1.0,santa rita - pb,2513703,-7.11724,-34.9753";
"8943,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",pb,santa rita,0.01,santa rita - pb,2513703,-7.11724,-34.9753";
8944,2412100,Produção de ferroligas,go,ouvidor,0.07,ouvidor - go,5215504,-18.2277,-47.8355;
8945,2412100,Produção de ferroligas,go,ouvidor,0.12,ouvidor - go,5215504,-18.2277,-47.8355;
8946,2412100,Produção de ferroligas,go,ouvidor,9.6,ouvidor - go,5215504,-18.2277,-47.8355;
8947,2412100,Produção de ferroligas,go,ouvidor,9.95,ouvidor - go,5215504,-18.2277,-47.8355;
"8948,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,8.23,itajai - sc,4208203,-26.9101,-48.6705";
"8949,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,4.18,itajai - sc,4208203,-26.9101,-48.6705";
"8950,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,799.13,itajai - sc,4208203,-26.9101,-48.6705";
"8951,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,956.48,itajai - sc,4208203,-26.9101,-48.6705";
"8952,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,956.48,itajai - sc,4208203,-26.9101,-48.6705";
"8953,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,41.61,itajai - sc,4208203,-26.9101,-48.6705";
"8954,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,41.61,itajai - sc,4208203,-26.9101,-48.6705";
"8955,2710402,""Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios"",sc,itajai,41.61,itajai - sc,4208203,-26.9101,-48.6705";
"8956,2710401,""Fabricação de geradores de corrente contínua e alternada, peças e acessórios"",sp,sao bernardo do campo,0.04,sao bernardo do campo - sp,3548708,-23.6914,-46.5646";
"8957,2710401,""Fabricação de geradores de corrente contínua e alternada, peças e acessórios"",sp,sao bernardo do campo,0.04,sao bernardo do campo - sp,3548708,-23.6914,-46.5646";
"8958,2710401,""Fabricação de geradores de corrente contínua e alternada, peças e acessórios"",sp,sao bernardo do campo,0.04,sao bernardo do campo - sp,3548708,-23.6914,-46.5646";
8959,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,21.23,icara - sc,4207007,-28.7132,-49.3087;
8960,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,30.0,icara - sc,4207007,-28.7132,-49.3087;
8961,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,45.0,icara - sc,4207007,-28.7132,-49.3087;
8962,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,40.37,icara - sc,4207007,-28.7132,-49.3087;
8963,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,17.78,icara - sc,4207007,-28.7132,-49.3087;
8964,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,9.0,icara - sc,4207007,-28.7132,-49.3087;
8965,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,8.4,icara - sc,4207007,-28.7132,-49.3087;
8966,2099199,Fabricação de outros produtos químicos não especificados anteriormente,sc,icara,1.4,icara - sc,4207007,-28.7132,-49.3087;
"8967,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,carmo do rio claro,2.85,carmo do rio claro - mg,3114402,-20.9736,-46.1149";
"8968,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,carmo do rio claro,3.0,carmo do rio claro - mg,3114402,-20.9736,-46.1149";
"8969,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,carmo do rio claro,0.9,carmo do rio claro - mg,3114402,-20.9736,-46.1149";
"8970,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,carmo do rio claro,0.9,carmo do rio claro - mg,3114402,-20.9736,-46.1149";
"8971,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",mg,carmo do rio claro,0.3,carmo do rio claro - mg,3114402,-20.9736,-46.1149";
8972,1122401,Fabricação de refrigerantes,ce,maracanau,5.0,maracanau - ce,2307650,-3.86699,-38.6259;
