,cnae_fiscal,cnae_fiscal_desc,uf,mun,quant,mun_uf,codigo_ibge,latitude,longitude;
45,4663000,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,pr,curitiba,0.25,curitiba - pr,4106902,-25.4195,-49.2646
46,1066000,Fabricação de alimentos para animais,sc,videira,1.4,videira - sc,4219309,-27.0086,-51.1543;
47,1066000,Fabricação de alimentos para animais,sc,videira,3.13,videira - sc,4219309,-27.0086,-51.1543;
48,1066000,Fabricação de alimentos para animais,sc,videira,2.76,videira - sc,4219309,-27.0086,-51.1543;
49,1066000,Fabricação de alimentos para animais,sc,videira,2.93,videira - sc,4219309,-27.0086,-51.1543;
50,1066000,Fabricação de alimentos para animais,sc,videira,1.79,videira - sc,4219309,-27.0086,-51.1543;
51,1066000,Fabricação de alimentos para animais,sc,videira,0.03,videira - sc,4219309,-27.0086,-51.1543;
52,1066000,Fabricação de alimentos para animais,sc,videira,2.98,videira - sc,4219309,-27.0086,-51.1543;
53,1051100,Preparação do leite,pr,laranjeiras do sul,4.71,laranjeiras do sul - pr,4113304,-25.4077,-52.4109;
"54,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,12.0,imbituva - pr,4110102,-25.2285,-50.5989";
"55,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,12.0,imbituva - pr,4110102,-25.2285,-50.5989";
"56,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,10.0,imbituva - pr,4110102,-25.2285,-50.5989";
"57,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,10.0,imbituva - pr,4110102,-25.2285,-50.5989";
"58,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,12.0,imbituva - pr,4110102,-25.2285,-50.5989";
"59,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,20.0,imbituva - pr,4110102,-25.2285,-50.5989";
"60,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,15.0,imbituva - pr,4110102,-25.2285,-50.5989";
61,4687703,Comércio atacadista de resíduos e sucatas metálicos,pr,sao jose dos pinhais,0.02,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
62,4687703,Comércio atacadista de resíduos e sucatas metálicos,pr,sao jose dos pinhais,0.0,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
63,4687703,Comércio atacadista de resíduos e sucatas metálicos,pr,sao jose dos pinhais,0.77,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
64,4687703,Comércio atacadista de resíduos e sucatas metálicos,pr,sao jose dos pinhais,2.01,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
65,4687703,Comércio atacadista de resíduos e sucatas metálicos,pr,sao jose dos pinhais,2.03,sao jose dos pinhais - pr,4125506,-25.5313,-49.2031;
"66,4635402,""Comércio atacadista de cerveja, chope e refrigerante"",es,cariacica,52.0,cariacica - es,3201308,-20.2632,-40.4165";
"67,4635402,""Comércio atacadista de cerveja, chope e refrigerante"",es,cariacica,0.1,cariacica - es,3201308,-20.2632,-40.4165";
"68,4635402,""Comércio atacadista de cerveja, chope e refrigerante"",es,cariacica,0.01,cariacica - es,3201308,-20.2632,-40.4165";
"69,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",rj,duque de caxias,3.38,duque de caxias - rj,3301702,-22.7858,-43.3049";
"70,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",rj,duque de caxias,0.4,duque de caxias - rj,3301702,-22.7858,-43.3049";
"71,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,0.32,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"72,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,1.13,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"73,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,0.05,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"74,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,1.23,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"75,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,0.24,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"76,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,0.81,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"77,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,0.12,ribeirao preto - sp,3543402,-21.1699,-47.8099";
"78,1122403,""Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas"",sp,ribeirao preto,0.12,ribeirao preto - sp,3543402,-21.1699,-47.8099";
79,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.01,estancia velha - rs,4307609,-29.6535,-51.1843;
80,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.01,estancia velha - rs,4307609,-29.6535,-51.1843;
81,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.01,estancia velha - rs,4307609,-29.6535,-51.1843;
82,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.15,estancia velha - rs,4307609,-29.6535,-51.1843;
83,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.15,estancia velha - rs,4307609,-29.6535,-51.1843;
84,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.15,estancia velha - rs,4307609,-29.6535,-51.1843;
85,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.15,estancia velha - rs,4307609,-29.6535,-51.1843;
86,1510600,Curtimento e outras preparações de couro,rs,estancia velha,0.15,estancia velha - rs,4307609,-29.6535,-51.1843;
"87,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",ce,jucas,38.44,jucas - ce,2307403,-6.51523,-39.5187";
"88,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",ce,jucas,39.5,jucas - ce,2307403,-6.51523,-39.5187";
89,1065102,Fabricação de óleo de milho em bruto,pr,apucarana,19.24,apucarana - pr,4101408,-23.55,-51.4635;
90,5211701,Armazéns gerais - emissão de warrant,pr,apucarana,145.27,apucarana - pr,4101408,-23.55,-51.4635;
91,5211701,Armazéns gerais - emissão de warrant,pr,apucarana,138.75,apucarana - pr,4101408,-23.55,-51.4635;
92,5211701,Armazéns gerais - emissão de warrant,pr,apucarana,227.11,apucarana - pr,4101408,-23.55,-51.4635;
"93,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",sc,sangao,1.0,sangao - sc,4215455,-28.6326,-49.1322";
"94,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",sc,sangao,1.0,sangao - sc,4215455,-28.6326,-49.1322";
"95,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",sc,sangao,0.29,sangao - sc,4215455,-28.6326,-49.1322";
"96,2342702,""Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos"",sc,sangao,0.03,sangao - sc,4215455,-28.6326,-49.1322";
97,990403,Atividades de apoio à extração de minerais não metálicos,rs,itaara,0.2,itaara - rs,4310538,-29.6013,-53.7725;
98,990403,Atividades de apoio à extração de minerais não metálicos,rs,itaara,0.1,itaara - rs,4310538,-29.6013,-53.7725;
99,990403,Atividades de apoio à extração de minerais não metálicos,rs,itaara,0.38,itaara - rs,4310538,-29.6013,-53.7725;
100,990403,Atividades de apoio à extração de minerais não metálicos,rs,itaara,0.48,itaara - rs,4310538,-29.6013,-53.7725;
101,3101200,Fabricação de móveis com predominância de madeira,rs,erechim,0.24,erechim - rs,4307005,-27.6364,-52.2697;
102,2212900,Reforma de pneumáticos usados,sc,sao jose,9.0,sao jose - sc,4216602,-27.6136,-48.6366;
103,2212900,Reforma de pneumáticos usados,sc,sao jose,9.0,sao jose - sc,4216602,-27.6136,-48.6366;
104,2212900,Reforma de pneumáticos usados,sc,sao jose,9.0,sao jose - sc,4216602,-27.6136,-48.6366;
105,2212900,Reforma de pneumáticos usados,sc,sao jose,10.36,sao jose - sc,4216602,-27.6136,-48.6366;
"106,4744004,""Comércio varejista de cal, areia, pedra britada, tijolos e telhas"",mg,ponte nova,100.24,ponte nova - mg,3152105,-20.4111,-42.8978";
"107,4744004,""Comércio varejista de cal, areia, pedra britada, tijolos e telhas"",mg,ponte nova,93.77,ponte nova - mg,3152105,-20.4111,-42.8978";
"108,4744004,""Comércio varejista de cal, areia, pedra britada, tijolos e telhas"",mg,ponte nova,95.33,ponte nova - mg,3152105,-20.4111,-42.8978";
"109,4744004,""Comércio varejista de cal, areia, pedra britada, tijolos e telhas"",mg,ponte nova,106.27,ponte nova - mg,3152105,-20.4111,-42.8978";
110,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
111,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
112,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
113,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
114,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
115,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
116,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
117,2539002,Serviços de tratamento e revestimento em metais,sc,joinville,0.01,joinville - sc,4209102,-26.3045,-48.8487;
118,2099199,Fabricação de outros produtos químicos não especificados anteriormente,pr,ponta grossa,1.5,ponta grossa - pr,4119905,-25.0916,-50.1668;
