"","municipio","lat","lng","sum_quant"
"113","araguaiana - mt",-15.7291,-51.8341,0.01
"114","araguaina - to",-7.19238,-48.2044,2695.59964285714
"115","araguari - mg",-18.6456,-48.1934,2.12047619047619
"116","araguatins - to",-5.64659,-48.1232,628.195238095238
"117","aral moreira - ms",-22.9385,-55.6334,7.45
"118","arame - ma",-4.88347,-46.0032,2.03
"119","arapiraca - al",-9.75487,-36.6615,802.927083333333
"120","arapongas - pr",-23.4153,-51.4259,229.210535714286
"121","arapoti - pr",-24.1548,-49.8285,18626.9084090909
"122","araputanga - mt",-15.4641,-58.3425,30.8133333333333
"123","araquari - sc",-26.3754,-48.7188,3137.34457142857
"124","ararangua - sc",-28.9356,-49.4918,1.01
"125","araraquara - sp",-21.7845,-48.178,374.6155
"126","araras - sp",-22.3572,-47.3842,0.03
"127","araripe - ce",-7.21319,-40.1359,1800
"128","araripina - pe",-7.57073,-40.494,6453.33780952381
"129","araruama - rj",-22.8697,-42.3326,1
"130","araruna - pr",-23.9315,-52.5021,46.1688888888889
"131","aratiba - rs",-27.3978,-52.2975,3.7
"132","araucaria - pr",-25.5859,-49.4047,87595.8700833333
"133","araxa - mg",-19.5902,-46.9438,25.69
"134","arceburgo - mg",-21.359,-46.9401,1
"135","arco-iris - sp",-21.7728,-50.466,0.1
"136","arcos - mg",-20.2863,-45.5373,894.943333333333
"137","areado - mg",-21.3572,-46.1421,0.37
"138","areal - rj",-22.2283,-43.1118,2.34
"139","areia - pb",-6.96396,-35.6977,13.525
"140","ares - rn",-6.18831,-35.1608,1142322.1125
"141","aripuana - mt",-10.1723,-59.4568,646.855714285714
"142","ariquemes - ro",-9.90571,-63.0325,8015.61785714286
"143","armazem - sc",-28.2448,-49.0215,16.9425
"144","arraias - to",-12.9287,-46.9359,1.17333333333333
"145","arroio do meio - rs",-29.4014,-51.9557,1632.94
"146","artur nogueira - sp",-22.5727,-47.1727,27.6475
"147","aruja - sp",-23.3965,-46.32,266.534
"148","arvorezinha - rs",-28.8737,-52.1781,7.69641666666667
"149","ascurra - sc",-26.9548,-49.3783,41.6853333333333
"150","assare - ce",-6.8669,-39.8689,826.415
"151","assis - sp",-22.66,-50.4183,6.07
"152","assis brasil - ac",-10.9298,-69.5738,7
"153","assis chateaubriand - pr",-24.4168,-53.5213,10
"154","astolfo dutra - mg",-21.3184,-42.8572,9.605
"155","astorga - pr",-23.2318,-51.6668,13.1126785714286
"156","atalaia - al",-9.5119,-36.0086,870.142
"157","atalaia do norte - am",-4.37055,-70.1967,0.055
"158","atalanta - sc",-27.4219,-49.7789,105.772857142857
"159","atibaia - sp",-23.1171,-46.5563,149.903333333333
"160","augustinopolis - to",-5.46863,-47.8863,6.09305555555556
"161","augusto de lima - mg",-18.0997,-44.2655,1
"162","aurea - rs",-27.6936,-52.0505,0.25
"163","aurora - sc",-27.3098,-49.6295,44.96125
"164","avare - sp",-23.1067,-48.9251,32.2733333333333
"165","axixa - ma",-2.83939,-44.062,0.403333333333333
"166","babaculandia - to",-7.20923,-47.7613,0.666666666666667
"167","bacabeira - ma",-2.96452,-44.3164,0.01
"168","baependi - mg",-21.957,-44.8874,26.5
"169","bage - rs",-31.3297,-54.0999,40032.01
"170","baia formosa - rn",-6.37161,-35.0033,105.995
"171","baixo guandu - es",-19.5213,-41.0109,0.368333333333333
"172","balneario barra do sul - sc",-26.4597,-48.6123,0.084
"173","balneario camboriu - sc",-26.9926,-48.6352,0
"174","balneario pinhal - rs",-30.2419,-50.2337,83.122
"175","balsa nova - pr",-25.5804,-49.6291,583.220130952381
"176","balsas - ma",-7.53214,-46.0372,3.1
"177","bananal - sp",-22.6819,-44.3281,7
"178","bandeirantes - pr",-23.1078,-50.3704,4255.53166666667
"179","bandeirantes do tocantins - to",-7.75612,-48.5836,21.7533333333333
"180","barao de cocais - mg",-19.9389,-43.4755,95
"181","barauna - rn",-5.06977,-37.6129,3804.584
"182","barbacena - mg",-21.2214,-43.7703,104.445833333333
"183","barbalha - ce",-7.2982,-39.3021,0.2325
"184","barcarena - pa",-1.51187,-48.6195,913.348
"185","barcelona - rn",-5.94284,-35.9247,0.01
"186","bariri - sp",-22.073,-48.7438,323.96
"187","barra - ba",-11.0859,-43.1459,0.01
"188","barra bonita - sp",-22.4909,-48.5583,16.9
"189","barra de sao francisco - es",-18.7548,-40.8965,476.856742424242
"190","barra do bugres - mt",-15.0702,-57.1878,2.53833333333333
"191","barra do corda - ma",-5.49682,-45.2485,6.45755952380952
"192","barra do garcas - mt",-15.8804,-52.264,375.178333333333
"193","barra do ouro - to",-7.69593,-47.6776,0.44
"194","barra do pirai - rj",-22.4715,-43.8269,17334.8475
"195","barra do turvo - sp",-24.759,-48.5013,1.31
"196","barra dos coqueiros - se",-10.8996,-37.0323,669.82
"197","barra mansa - rj",-22.5481,-44.1752,1283946.54333333
"198","barra velha - sc",-26.637,-48.6933,0.03
"199","barreira - ce",-4.28921,-38.6429,50.6
"200","barreiras - ba",-12.1439,-44.9968,4408.82875
"201","barreirinhas - ma",-2.75863,-42.8232,0.8
"202","barretos - sp",-20.5531,-48.5698,72.4625
"203","barro - ce",-7.17188,-38.7741,175.165
"204","barroso - mg",-21.1907,-43.972,730.335
"205","barueri - sp",-23.5057,-46.879,651198.417083333
"206","bataguassu - ms",-21.7159,-52.4221,86.2033333333333
"207","batatais - sp",-20.8929,-47.5921,186.628333333333
"208","bataypora - ms",-22.2944,-53.2705,769.92875
"209","bauru - sp",-22.3246,-49.0871,930.113333333333
"210","bayeux - pb",-7.1238,-34.9293,319.77
"211","bebedouro - sp",-20.9491,-48.4791,119.422857142857
"212","beberibe - ce",-4.17741,-38.1271,2759.8375
"213","bela vista - ms",-22.1073,-56.5263,238.5
"214","bela vista da caroba - pr",-25.8842,-53.6725,3.94
"215","bela vista de goias - go",-16.9693,-48.9513,43.688
"216","bela vista do maranhao - ma",-3.72618,-45.3075,0.5
"217","belem - pa",-1.4554,-48.4898,633635.768333333
"218","belem - pb",-6.74261,-35.5166,0.525
"219","belem do brejo do cruz - pb",-6.18515,-37.5348,625.25
"220","belford roxo - rj",-22.764,-43.3992,203.427738095238
"221","belmiro braga - mg",-21.944,-43.4084,20825.015
"222","belmonte - ba",-15.8608,-38.8758,1.81
"223","belo campo - ba",-15.0334,-41.2652,0.02
"224","belo horizonte - mg",-19.9102,-43.9266,2151.49622619048
"225","belo oriente - mg",-19.2199,-42.4828,0.06
"226","belo vale - mg",-20.4077,-44.0275,1.255
"227","benedito leite - ma",-7.21037,-44.5577,1
"228","benedito novo - sc",-26.781,-49.3593,622.719523809524
"229","benevides - pa",-1.36183,-48.2434,1.13
"230","bento goncalves - rs",-29.1662,-51.5165,276.58375
"231","berizal - mg",-15.61,-41.7432,0.06375
"232","bernardino de campos - sp",-23.0164,-49.4679,1.32625
"233","bernardo sayao - to",-7.87481,-48.8893,0.733
"234","betim - mg",-19.9668,-44.2008,87805278.3854167
"235","bezerros - pe",-8.2328,-35.796,40215
"236","biguacu - sc",-27.496,-48.6598,1191.33166666667
"237","biritiba-mirim - sp",-23.5698,-46.0407,0
"238","bituruna - pr",-26.1607,-51.5518,6375.22766666667
"239","blumenau - sc",-26.9155,-49.0709,2459.60045238095
"240","boa esperanca - es",-18.5395,-40.3025,0.04
"241","boa esperanca - mg",-21.0927,-45.5612,79.35
"242","boa esperanca do sul - sp",-21.9918,-48.3906,20
"243","boa ventura de sao roque - pr",-24.8688,-51.6276,1436.84142857143
"244","boa vista - rr",2.82384,-60.6753,35.575
"245","boa vista do burica - rs",-27.6693,-54.1082,10000.25
"246","boa vista do sul - rs",-29.3544,-51.6687,0.00428571428571429
"247","bocaina de minas - mg",-22.1697,-44.3972,24
"248","bocaiuva - mg",-17.1135,-43.8104,0.01
"249","bocaiuva do sul - pr",-25.2066,-49.1141,339.995
"250","bodoco - pe",-7.77759,-39.9338,100
"251","bodoquena - ms",-20.537,-56.7127,381.77375
"252","bofete - sp",-23.1055,-48.2582,2
"253","boituva - sp",-23.2855,-47.6786,19.6521428571429
"254","bom conselho - pe",-9.16919,-36.6857,40
"255","bom despacho - mg",-19.7386,-45.2622,123.757976190476
"256","bom jardim - rj",-22.1545,-42.4251,0.225
"257","bom jardim de minas - mg",-21.9479,-44.1885,1574.84
"258","bom jesus - pb",-6.81601,-38.6453,0.05
"259","bom jesus da lapa - ba",-13.2506,-43.4108,0.0385714285714286
"260","bom jesus do araguaia - mt",-12.1706,-51.5032,0.01
"261","bom jesus do norte - es",-21.1173,-41.6731,0.01
"262","bom jesus dos perdoes - sp",-23.1356,-46.4675,3.01
"263","bom principio - rs",-29.4856,-51.3548,532.64625
"264","bom retiro do sul - rs",-29.6071,-51.9456,20.95
"265","bom sucesso do sul - pr",-26.0731,-52.8353,19.368
"266","bonito - pa",-1.36745,-47.3066,0.01
"267","boqueirao - pb",-7.487,-36.1309,0.11
"268","boquira - ba",-12.8205,-42.7324,168.749285714286
"269","boraceia - sp",-22.1926,-48.7808,0.19
"270","borda da mata - mg",-22.2707,-46.1653,0.315
"271","botucatu - sp",-22.8837,-48.4437,3.94166666666667
"272","botumirim - mg",-16.8657,-43.0086,131.826666666667
"273","botuvera - sc",-27.2007,-49.0689,3626.66
"274","braco do norte - sc",-28.2681,-49.1701,68.9622857142857
"275","braganca paulista - sp",-22.9527,-46.5419,37.88
"276","brasil novo - pa",-3.29792,-52.534,0.5
"277","brasilandia - ms",-21.2544,-52.0365,22.8466666666667
"278","brasileia - ac",-10.995,-68.7497,1
"279","brasilia - df",-15.7795,-47.9297,82857138.7716667
"280","brasnorte - mt",-12.1474,-57.9833,100
"281","brazabrantes - go",-16.4281,-49.3863,723.8975
"282","brejinho - rn",-6.18566,-35.3591,7.82
"283","brejo santo - ce",-7.48469,-38.9799,1260.00464285714
"284","breu branco - pa",-3.77191,-49.5735,13.72625
"285","brodowski - sp",-20.9845,-47.6572,1
"286","brotas - sp",-22.2795,-48.1251,1848.2375
"287","brumadinho - mg",-20.151,-44.2007,697.215
"288","brumado - ba",-14.2021,-41.6696,9894.81908333333
"289","brusque - sc",-27.0977,-48.9107,26493.9515833333
"290","bueno brandao - mg",-22.4383,-46.3491,0.00833333333333333
"291","buenos aires - pe",-7.72449,-35.3182,2.8
"292","buri - sp",-23.7977,-48.5958,0.63
"293","buritama - sp",-21.0661,-50.1475,0.5
"294","buriti alegre - go",-18.1378,-49.0404,1.505
