data_inicio_fogo,localidade,mun,uf,tipo_item,provavel_causa,lat,lng
28/08/2017 12:08:00,FLONA DE BRASÍLIA,BRASILIA,DF,ATIVIDADE AGROPECUÁRIA,QUEIMA DE LIXO,-15.7865128,-48.0578407
28/02/2019 11:02:00,PARNA E HISTÓRICO DO MONTE PASCOAL,PORTO SEGURO,BA,OUTRAS CAUSAS,VANDALISMO,-16.8926746,-39.2167384
05/04/2016 20:04:00,APA SANTO ANTÔNIO,SANTA CRUZ CABRALIA,BA,OUTRAS CAUSAS,INDETERMINADO,-16.1838426,-38.9636055
29/10/2019 10:10:00,PARQUE NATURAL SERRA DAS ALMAS,RIO DE CONTAS,BA,OUTRAS CAUSAS,INDETERMINADO,-13.3715942,-41.8841023
02/03/2016 08:03:00,VALE DO RIO BURANHÉM,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.4179048,-39.5367393
12/10/2018 10:10:00,PARNA DA CHAPADA DIAMANTINA,MUCUGE,BA,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-13.0088285,-41.3711799
12/10/2018 10:10:00,PARNA DA CHAPADA DIAMANTINA,ITAETE,BA,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-4.2647341,-55.991954
26/01/2017 10:01:00,PA BOA SORTE /,ANDARAI,BA,OUTRAS CAUSAS,INDETERMINADO,-12.8006321,-41.3271166
26/01/2017 10:01:00,PA BOA SORTE /,IBICOARA,BA,OUTRAS CAUSAS,INDETERMINADO,-13.4136556,-41.284438
26/01/2017 10:01:00,PA BOA SORTE /,ITAETE,BA,OUTRAS CAUSAS,INDETERMINADO,-12.9810717,-40.9654076
26/01/2017 10:01:00,PA BOA SORTE /,IRAMAIA,BA,OUTRAS CAUSAS,INDETERMINADO,-13.3186145,-41.0976382
12/02/2019 13:02:00,RVS DO RIO DOS FRADES,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.5588254,-39.3975677
12/02/2019 13:02:00,IMBIRIBA,PORTO SEGURO,BA,OUTRAS CAUSAS,INDETERMINADO,-16.6588812,-39.1471634
05/03/2021 15:03:00,ALDEIA VELHA,PORTO SEGURO,BA,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM PLANTADA,-16.4443537,-39.0653656
05/03/2021 15:03:00,ALDEIA VELHA,PORTO SEGURO,BA,ATIVIDADE AGROPECUÁRIA,RENOVAÇÃO DE PASTAGEM NATURAL,-16.4443537,-39.0653656
