"","data_inicio_fogo","localidade","mun","uf","tipo_item","provavel_causa","lat","lng"
"2905","30/03/2019 16:03:00","COROA VERMELHA","PORTO SEGURO","BA","OUTRAS CAUSAS","INDETERMINADO",-16.3297275,-39.0191718
"2906","21/07/2019 17:07:00","PA LIMOEIRO / CACERES","CACERES","MT","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-16.45,-57.25
"2907","12/09/2019 16:09:00","MENKÜ","BRASNORTE","MT","ATIVIDADE AGROPECUÁRIA","QUEIMA DE CANA-DE-AÇUCAR",-12.1777728,-58.4023379
"2908","15/08/2016 18:08:00","JACI PARANÁ","PORTO VELHO","RO","OUTRAS CAUSAS","VANDALISMO",-9.253793,-64.4123901
"2909","14/09/2019 09:09:00","Linha R-01 - Muriru","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030481,-58.5657066
"2910","25/08/2019 14:08:00","MARAIWATSEDE","ALTO BOA VISTA","MT","OUTRAS CAUSAS","VANDALISMO",-11.7036923,-51.6244307
"2911","18/11/2019 12:11:00","PA MOÇAMBIQUE / ITAETE","ITAETE","BA","EXTRATIVISMO","CAÇA",-12.9887836,-40.9631215
"2912","12/09/2020 08:09:00","PARQUE INDIGENA DO XINGU/ ALTO XINGU","GAUCHA DO NORTE","MT","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-13.5118253,-53.0955851
"2913","01/10/2020 16:10:00","PARQUE DO XINGU","SAO FELIX DO ARAGUAIA","MT","ACIDENTE","CONFECÇÃO DE ACEIRO",-11.6179703,-50.6650754
"2914","27/08/2018 14:08:00","Linha 02, sentido Colniza","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.4623242,-59.2244383
"2915",NA,"LINHA 11","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030759,-58.5657137
"2916",NA,"LINHA VICINAL 28/COTRIGUAÇU","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030481,-58.5657066
"2917","22/09/2018 09:09:00","Linha 01 - Nova União","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.3673106,-58.9534449
"2918","14/07/2019 12:07:00","Aldeia Salto da Mulher","CAMPO NOVO DO PARECIS","MT","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",-13.9068014,-58.2634507
